review_id,actual_stars,persona,runs,valid_predictions,unique_predictions,variance,predictions
z6y3GRpYDqTznVe-0dn--Q,1,sentiment_baseline,10,10,1,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
z6y3GRpYDqTznVe-0dn--Q,1,human_cognitive,10,10,1,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
z6y3GRpYDqTznVe-0dn--Q,1,product_calibrated,10,10,1,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
72RLVL7ulxXkh-Sv01l73w,2,sentiment_baseline,10,10,1,0.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
72RLVL7ulxXkh-Sv01l73w,2,human_cognitive,10,10,1,0.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
72RLVL7ulxXkh-Sv01l73w,2,product_calibrated,10,10,1,0.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
N0ZRCOmv-vT1l3B336MtBg,3,sentiment_baseline,10,10,1,0.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
N0ZRCOmv-vT1l3B336MtBg,3,human_cognitive,10,10,1,0.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
N0ZRCOmv-vT1l3B336MtBg,3,product_calibrated,10,10,1,0.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
NsS1BXKprxXiiRcfe0tBmw,4,sentiment_baseline,10,10,2,0.24,"[4, 4, 5, 5, 5, 4, 5, 5, 5, 4]"
NsS1BXKprxXiiRcfe0tBmw,4,human_cognitive,10,10,1,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
NsS1BXKprxXiiRcfe0tBmw,4,product_calibrated,10,10,1,0.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
FcIL0kPumNkm-ks908FX8A,5,sentiment_baseline,10,10,1,0.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
FcIL0kPumNkm-ks908FX8A,5,human_cognitive,10,10,1,0.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
FcIL0kPumNkm-ks908FX8A,5,product_calibrated,10,10,1,0.0,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
